time,E_scr_pv,E_scr_sv,c_temp_pv,c_temp_sv,k_rpm_pv,k_rpm_sv,n_temp_pv,n_temp_sv,scale_pv,s_temp_pv,s_temp_sv,is_imputed
2025-05-18 15:09:19.018900+00:00,8,8,69.6,70,189,180,67.2,70,3.01,67.1,70,0.0
2025-05-18 15:09:20.128150+00:00,8,8,69.8,70,189,180,67.2,70,3.01,67.0,70,0.0
2025-05-18 15:12:38.819460+00:00,8,8,69.7,70,189,180,67.9,70,3.08,65.9,70,0.0
2025-05-18 15:12:39.958188+00:00,8,8,69.7,70,189,180,67.8,70,3.08,65.9,70,0.0
2025-05-18 15:12:41.050178+00:00,8,8,69.7,70,189,180,67.8,70,3.08,65.9,70,0.0
2025-05-18 15:12:49.009516+00:00,8,8,69.7,70,189,180,67.4,70,3.01,65.8,70,0.0
2025-05-18 15:12:50.064108+00:00,8,8,69.8,70,189,180,67.4,70,3.01,66.0,70,0.0
2025-05-18 15:13:23.566707+00:00,8,8,69.8,70,189,180,66.7,70,3.02,68.1,70,0.0
2025-05-18 15:13:24.611189+00:00,8,8,69.9,70,189,180,66.8,70,3.02,67.9,70,0.0
2025-05-18 15:13:55.251018+00:00,8,8,69.7,70,189,180,67.8,70,3.04,66.2,70,0.0
2025-05-18 15:13:56.311126+00:00,8,8,69.7,70,189,180,67.8,70,3.04,66.3,70,0.0
2025-05-18 15:14:25.806134+00:00,8,8,69.7,70,189,180,66.9,70,3.03,68.8,70,0.0
2025-05-18 15:14:26.846427+00:00,8,8,69.7,70,189,180,66.9,70,3.03,68.7,70,0.0
2025-05-18 15:15:20.566815+00:00,8,8,69.7,70,189,180,67.3,70,3.03,67.5,70,0.0
2025-05-18 15:15:21.599380+00:00,8,8,69.8,70,189,180,67.3,70,3.03,67.7,70,0.0
2025-05-18 15:15:22.636430+00:00,8,8,69.6,70,189,180,67.2,70,3.03,67.6,70,0.0
2025-05-18 15:19:15.731824+00:00,8,8,69.4,70,189,180,69.4,70,3.06,68.4,70,0.0
2025-05-18 15:19:16.200523+00:00,8,8,69.4,70,189,180,69.5,70,3.06,68.2,70,0.0
2025-05-18 15:19:16.653731+00:00,8,8,69.4,70,189,180,69.5,70,3.06,68.3,70,0.0
2025-05-18 15:19:17.144581+00:00,8,8,69.4,70,189,180,69.6,70,3.06,68.3,70,0.0
2025-05-18 15:19:17.592175+00:00,8,8,69.5,70,189,180,69.5,70,3.06,68.3,70,0.0
2025-05-18 15:19:44.420958+00:00,8,8,69.4,70,189,180,70.3,70,3.05,70.8,70,0.0
2025-05-18 15:19:44.858629+00:00,8,8,69.5,70,189,180,70.3,70,3.05,70.8,70,0.0
2025-05-18 15:19:45.299394+00:00,8,8,69.4,70,189,180,70.4,70,3.04,70.8,70,0.0
2025-05-18 15:19:45.767063+00:00,8,8,69.4,70,189,180,70.4,70,3.04,70.8,70,0.0
2025-05-18 15:19:46.208047+00:00,8,8,69.5,70,189,180,70.5,70,3.04,70.9,70,0.0
2025-05-18 15:19:46.648814+00:00,8,8,69.4,70,189,180,70.3,70,3.04,70.9,70,0.0
2025-05-18 15:19:47.091149+00:00,8,8,69.5,70,189,180,70.4,70,3.04,71.0,70,0.0
2025-05-18 15:19:54.281202+00:00,8,8,69.4,70,189,180,70.6,70,3.03,70.4,70,0.0
2025-05-18 15:19:54.718653+00:00,8,8,69.4,70,189,180,70.6,70,3.03,70.3,70,0.0
2025-05-18 15:19:55.179094+00:00,8,8,69.5,70,189,180,70.6,70,3.03,70.2,70,0.0
2025-05-18 15:19:55.636306+00:00,8,8,69.4,70,189,180,70.6,70,3.03,70.1,70,0.0
2025-05-18 15:19:56.071052+00:00,8,8,69.5,70,189,180,70.6,70,3.03,70.1,70,0.0
2025-05-18 15:19:56.512035+00:00,8,8,69.5,70,189,180,70.6,70,3.03,69.9,70,0.0
2025-05-18 15:19:56.984051+00:00,8,8,69.4,70,189,180,70.6,70,3.04,69.9,70,0.0
