time,E_scr_pv,E_scr_sv,c_temp_pv,c_temp_sv,k_rpm_pv,k_rpm_sv,n_temp_pv,n_temp_sv,scale_pv,s_temp_pv,s_temp_sv,current_k_rpm,real_weight,predicted_weight_current,residual,corrected_target,recommended_k_rpm,predicted_weight_with_recommended
2025-10-16 06:09:42.847408+00:00,8,8,69.8,70,144,144,69.3,70,3.03,67.9,70,144,3.03,3.08,-0.05,3.05,190,3.05
2025-10-16 06:09:43.909787+00:00,8,8,69.8,70,144,144,69.3,70,3.03,68,70,144,3.03,3.08,-0.05,3.05,161,3.05
2025-10-16 06:10:52.949347+00:00,8,8,69.9,70,160,160,69.5,70,3.19,67.9,70,160,3.19,3.06,0.13,2.87,190,3.02
2025-10-16 06:12:07.660172+00:00,8,8,70,70,171,171,68.8,70,3,69.9,70,171,3,3.06,-0.06,3,171,3.06
2025-10-16 06:12:08.722568+00:00,8,8,70.1,70,169,169,68.7,70,3,69.9,70,169,3,3.07,-0.07,3,169,3.07
2025-10-16 06:12:46.515346+00:00,8,8,70.1,70,163,163,69.6,70,3.09,68.2,70,163,3.09,3.06,0.03,2.97,162,3.02
2025-10-16 06:12:47.577815+00:00,8,8,70.1,70,163,163,69.7,70,3.09,68.2,70,163,3.09,3.07,0.02,2.98,178,3.04
2025-10-16 06:12:48.655822+00:00,8,8,70.2,70,163,163,69.6,70,3.09,68.2,70,163,3.09,3.06,0.03,2.97,162,3.03
2025-10-16 06:13:38.509854+00:00,8,8,70.2,70,166,166,68.5,70,3.06,67.6,70,166,3.06,3.06,0,3,191,3.03
2025-10-16 06:13:39.603514+00:00,8,8,70.3,70,166,166,68.5,70,3.06,67.7,70,166,3.06,3.05,0.01,2.99,177,3.03
2025-10-16 06:13:55.865939+00:00,8,8,70.3,70,166,166,68.6,70,3.06,69.6,70,166,3.06,3.05,0.01,2.99,182,3.03
2025-10-16 06:13:56.943950+00:00,8,8,70.2,70,166,166,68.6,70,3.06,69.7,70,166,3.06,3.06,0,3,182,3.03
2025-10-16 06:14:53.391089+00:00,8,8,70.4,70,166,166,69,70,3.08,69.7,70,166,3.08,3.05,0.03,2.97,171,3.01
2025-10-16 06:14:54.469107+00:00,8,8,70.4,70,166,166.S0,69,70,3.08,69.8,70,166,3.08,3.06,0.02,2.98,171,3.01
2025-10-16 06:14:55.562669+00:00,8,8,70.5,70,166,166,69,70,3.08,69.9,70,166,3.08,3.04,0.04,2.96,171,2.99
2025-10-16 06:14:56.625123+00:00,8,8,70.3,70,166,166,68.8,70,3.08,70,70,166,3.08,3.05,0.03,2.97,170,3.02
2025-10-16 06:14:57.703134+00:00,8,8,70.4,70,166,166,68.9,70,3.08,70.1,70,166,3.08,3.05,0.03,2.97,171,3.02
2025-10-16 06:14:58.781141+00:00,8,8,70.4,70,166,166,68.9,70,3.08,70.2,70,166,3.08,3.05,0.03,2.97,171,3.02
2025-10-16 06:14:59.905944+00:00,8,8,70.3,70,166,166,68.7,70,3.08,70.3,70,166,3.08,3.06,0.02,2.98,178,3.03
2025-10-16 06:15:41.057910+00:00,8,8,70.4,70,170,170,69.5,70,3.27,68.8,70,170,3.27,3.04,0.23,2.77,180,3.03
2025-10-16 06:15:42.167088+00:00,8,8,70.4,70,172,172,69.6,70,3.27,69,70,172,3.27,3.04,0.23,2.77,180,3.02
2025-10-16 06:16:53.581474+00:00,8,8,70.6,70,178,178,68.6,70,3.18,69.1,70,178,3.18,3.04,0.14,2.86,188,3.01
2025-10-16 06:16:54.643857+00:00,8,8,70.6,70,180,180,68.6,70,3.18,68.9,70,180,3.18,3.05,0.13,2.87,188,3.02
