time,E_scr_pv,E_scr_sv,c_temp_pv,c_temp_sv,k_rpm_pv,k_rpm_sv,n_temp_pv,n_temp_sv,scale_pv,s_temp_pv,s_temp_sv
2025-10-16 06:09:04.367107+00:00,8,8,69.8,70,180,400,70.7,70,0,69.7,70
2025-10-16 06:09:06.007555+00:00,8,8,69.7,70,180,400,70.8,70,0,69.9,70
2025-10-16 06:09:07.101202+00:00,8,8,69.7,70,180,1800,70.6,70,0,69.9,70
2025-10-16 06:09:08.194812+00:00,8,8,69.9,70,176,1760,70.6,70,0,70,70
2025-10-16 06:09:09.288461+00:00,8,8,69.8,70,174,1740,70.6,70,0,70.1,70
2025-10-16 06:09:10.382092+00:00,8,8,69.8,70,174,1740,70.5,70,0,70.2,70
2025-10-16 06:09:11.460108+00:00,8,8,69.8,70,174,1740,70.4,70,0,70.4,70
2025-10-16 06:09:12.600609+00:00,8,8,69.7,70,174,1740,70.3,70,0,70.4,70
2025-10-16 06:09:13.678619+00:00,8,8,69.8,70,174,1740,70.3,70,0,70.5,70
2025-10-16 06:09:14.787869+00:00,8,8,69.9,70,173,1730,70.3,70,0,70.6,70
2025-10-16 06:09:15.850262+00:00,8,8,69.7,70,173,1730,70.2,70,0,70.7,70
2025-10-16 06:09:16.928272+00:00,8,8,69.8,70,173,1730,70.1,70,0,70.7,70
2025-10-16 06:09:17.990664+00:00,8,8,69.8,70,173,1730,70,70,0,70.7,70
2025-10-16 06:09:19.053047+00:00,8,8,69.7,70,173,1730,69.9,70,0,70.8,70
2025-10-16 06:09:20.115436+00:00,8,8,69.7,70,169,1690,69.8,70,0,70.8,70
2025-10-16 06:09:21.193439+00:00,8,8,69.8,70,167,1670,69.8,70,0,70.8,70
2025-10-16 06:09:22.333955+00:00,8,8,69.8,70,167,1670,69.8,70,0,70.5,70
2025-10-16 06:09:23.427505+00:00,8,8,69.8,70,165,1650,69.7,70,0,70.3,70
2025-10-16 06:09:24.505525+00:00,8,8,69.7,70,165,1650,69.6,70,0,70.2,70
2025-10-16 06:09:25.583605+00:00,8,8,69.8,70,165,1650,69.7,70,0,69.9,70
2025-10-16 06:09:26.677207+00:00,8,8,69.7,70,165,1650,69.6,70,0,69.8,70
2025-10-16 06:09:27.817682+00:00,8,8,69.8,70,165,1650,69.6,70,0,69.5,70
2025-10-16 06:09:28.880092+00:00,8,8,69.8,70,161,1610,69.6,70,0,69.2,70
2025-10-16 06:09:29.989309+00:00,8,8,69.8,70,155,1550,69.4,70,0,69,70
2025-10-16 06:09:31.051776+00:00,8,8,69.9,70,152,1520,69.5,70,0,69,70
2025-10-16 06:09:32.129801+00:00,8,8,69.8,70,151,1510,69.4,70,0,68.8,70
2025-10-16 06:09:33.192162+00:00,8,8,69.7,70,151,1510,69.4,70,0,68.7,70
2025-10-16 06:09:34.270184+00:00,8,8,69.8,70,151,1510,69.5,70,0,68.5,70
2025-10-16 06:09:35.332577+00:00,8,8,69.8,70,151,1510,69.3,70,0,68.3,70
2025-10-16 06:09:36.410503+00:00,8,8,69.8,70,151,1510,69.3,70,0,68.2,70
2025-10-16 06:09:37.504207+00:00,8,8,69.8,70,147,1470,69.3,70,0,68.1,70
2025-10-16 06:09:38.566606+00:00,8,8,69.9,70,144,1440,69.3,70,0,68.1,70
2025-10-16 06:09:39.644616+00:00,8,8,69.8,70,144,1440,69.2,70,0,68.1,70
2025-10-16 06:09:40.707002+00:00,8,8,69.8,70,144,1440,69.2,70,0,68.1,70
2025-10-16 06:09:41.785024+00:00,8,8,69.8,70,144,1440,69.3,70,0,68,70
2025-10-16 06:09:42.847408+00:00,8,8,69.8,70,144,1440,69.3,70,3.03,67.9,70
2025-10-16 06:09:43.909787+00:00,8,8,69.8,70,144,1440,69.3,70,3.03,68,70
2025-10-16 06:09:44.972174+00:00,8,8,69.8,70,144,1440,69.3,70,0,68.1,70
